Geneid	SRR1554536(Adult 1)	SRR2071347(Adult 1)	SRR1554539(Adult 2)	SRR2071350(Adult 2)	SRR15545534(Adult 3)	SRR2071345(Adult 3)	SRR1554537(Fetus 1)	SRR2071348(Fetus 1)	SRR1554566(Fetus 2)	SRR2071377(Fetus 2)	SRR1554567(Fetus 3)	SRR2071378(Fetus 3)
NR_046204	0	0	0	0	0	0	0	0	0	0	0	0
NR_135134	0	0	0	0	0	0	2	2	0	0	0	0
NM_001362840	0	0	0	0	0	0	0	0	0	0	0	0
NM_002197	0	0	0	0	0	0	0	0	0	0	0	0
NM_001278352	0	0	0	0	0	0	0	0	0	0	0	0
NM_001199987	0	0	0	0	0	0	0	0	0	0	0	0
NM_001349119	0	0	0	0	0	0	0	0	1	1	0	1
NM_153809	1	2	7	8	6	10	43	82	23	31	67	75
NM_001195622	1	1	1	1	0	0	2	6	0	0	3	3
NM_001349118	0	0	2	2	4	4	2	4	4	5	4	4
NR_146061	0	0	6	6	0	0	30	49	30	36	33	34
NR_146063	0	0	0	0	0	0	0	0	0	0	0	0
NM_002493	0	0	0	0	0	0	0	0	0	0	0	0
NM_005802	5	5	20	19	12	14	84	152	93	107	56	74
NM_182739	0	0	0	0	0	0	0	0	0	0	0	0
NM_212558	3	9	316	325	61	63	7	17	64	66	202	213
NM_175069	0	0	0	0	0	0	0	0	0	0	0	0
NM_175073	0	0	0	0	0	0	0	0	0	0	0	0
NM_001370669	0	0	0	0	0	0	0	0	0	0	0	0
NM_001370670	0	0	0	0	0	0	0	0	0	0	0	0
NM_001368997	0	0	0	0	0	0	0	0	0	0	0	0
NM_001368999	0	0	0	0	0	0	0	0	0	0	0	0
NM_001369006	0	0	0	0	0	0	0	0	0	0	0	0
NM_001370673	0	0	0	0	0	0	0	0	0	0	0	0
NR_160931	0	0	0	0	0	0	0	0	0	0	0	0
NR_036577	0	0	0	0	0	0	0	0	0	0	0	0
NM_001369005	0	0	0	0	0	0	0	0	0	0	0	0
NM_001369004	0	0	0	0	0	0	1	1	0	0	1	1
NM_001368998	0	0	0	0	0	0	0	0	0	0	0	0
NM_001195248	0	0	0	0	0	0	0	0	0	0	0	0
NM_001195251	0	0	0	0	0	0	0	0	0	0	0	0
NM_001195249	0	0	0	0	0	0	0	0	0	0	0	0
NM_001195250	0	0	0	0	0	0	0	0	0	0	0	0
NM_001195254	0	0	0	0	0	0	0	0	0	0	0	0
NM_001195252	0	0	0	0	0	0	0	0	0	0	0	0
NR_160930	0	0	0	0	0	0	0	0	0	0	0	0
NR_160929	0	0	0	0	0	0	0	0	0	0	0	0
NR_160928	0	0	0	0	0	0	0	0	0	0	0	0
NR_160927	0	0	0	0	0	0	0	0	0	0	0	0
NR_160926	0	0	0	0	0	0	0	0	0	0	0	0
